stock,date,fresh
ABNB,2023-04-10 12:30:00-04:00,Y
GOOGL,2023-03-15 11:30:00-04:00,Y
GOOG,2023-03-13 10:30:00-04:00,Y
AMZN,2023-03-13 13:30:00-04:00,Y
AMZN,2023-04-13 13:30:00-04:00,Y
AMZN,2023-04-19 10:30:00-04:00,Y
AMD,2023-03-14 09:30:00-04:00,Y
AMGN,2023-03-24 11:30:00-04:00,Y
AAPL,2023-04-13 09:30:00-04:00,Y
CPRT,2023-03-29 09:30:00-04:00,Y
CPRT,2023-04-10 12:30:00-04:00,Y
EXC,2023-03-30 09:30:00-04:00,Y
FTNT,2023-03-16 10:30:00-04:00,Y
GILD,2023-03-20 09:30:00-04:00,Y
ISRG,2023-04-11 09:30:00-04:00,Y
MDLZ,2023-03-20 09:30:00-04:00,Y
MDLZ,2023-04-17 14:30:00-04:00,Y
NVDA,2023-03-21 12:30:00-04:00,Y
NVDA,2023-04-14 13:30:00-04:00,Y
ORLY,2023-03-24 11:30:00-04:00,Y
SGEN,2023-04-04 09:30:00-04:00,Y
SBUX,2023-03-31 09:30:00-04:00,Y
SBUX,2023-04-21 13:30:00-04:00,Y
TMUS,2023-03-17 10:30:00-04:00,Y
TMUS,2023-04-25 09:30:00-04:00,Y
XEL,2023-03-31 14:30:00-04:00,Y
